         ps       /top/SCLK                    
          delta        /top/LAT                
                           /top/SDO            
                        /top/led/i_state       
          0  +0           x   x   x    x 
      12750  +2           0   0   0    2 
      12770  +2           1   0   0    2 
      12790  +2           0   0   0    2 
      12810  +2           1   0   0    2 
      12830  +2           0   0   0    2 
      12850  +2           1   0   0    2 
      12870  +2           0   0   0    2 
      12890  +2           1   0   0    2 
      12910  +2           0   0   0    2 
      12930  +2           1   0   0    2 
      12950  +2           0   0   0    2 
      12970  +2           1   0   0    2 
      12990  +2           0   0   0    2 
      13010  +2           1   0   0    2 
      13030  +2           0   0   0    2 
      13050  +2           1   0   0    2 
      13070  +2           0   0   0    2 
      13090  +2           1   0   0    2 
      13110  +2           0   0   0    2 
      13130  +2           1   0   0    2 
      13150  +2           0   0   0    2 
      13170  +2           1   0   0    2 
      13190  +2           0   0   0    2 
      13210  +2           1   0   0    2 
      13230  +2           0   0   0    2 
      13250  +2           1   0   0    2 
      13270  +2           0   0   0    2 
      13290  +2           1   0   0    2 
      13310  +2           0   0   0    2 
      13330  +2           1   0   0    2 
      13350  +2           0   0   0    2 
      13370  +2           1   0   0    2 
      13390  +2           0   0   0    2 
      13410  +2           1   0   0    2 
      13430  +2           0   0   0    2 
      13450  +2           1   0   0    2 
      13470  +2           0   0   0    2 
      13490  +2           1   0   0    2 
      13510  +2           0   0   0    2 
      13530  +2           1   0   0    2 
      13550  +2           0   0   0    2 
      13570  +2           1   0   0    2 
      13590  +2           0   0   0    2 
      13610  +2           1   0   0    2 
      13630  +2           0   0   0    2 
      13650  +2           1   0   0    2 
      13670  +2           0   0   0    2 
      13690  +2           1   0   0    2 
      13710  +2           0   0   0    2 
      13730  +2           1   0   0    2 
      13750  +2           0   0   0    2 
      13770  +2           1   0   0    2 
      13790  +2           0   0   0    2 
      13810  +2           1   0   0    2 
      13830  +2           0   0   0    2 
      13850  +2           1   0   0    2 
      13870  +2           0   0   0    2 
      13890  +2           1   0   0    2 
      13910  +2           0   0   0    2 
      13930  +2           1   0   0    2 
      13950  +2           0   0   0    2 
      13970  +2           1   0   0    2 
      13990  +2           0   0   0    2 
      14010  +2           1   0   0    2 
      14030  +2           0   0   0    2 
      14050  +2           1   0   0    2 
      14070  +2           0   0   0    2 
      14090  +2           1   0   0    2 
      14110  +2           0   0   0    2 
      14130  +2           1   0   0    2 
      14150  +2           0   0   0    2 
      14170  +2           1   0   0    2 
      14190  +2           0   0   0    2 
      14210  +2           1   0   0    2 
      14230  +2           0   0   0    2 
      14250  +2           1   0   0    2 
      14270  +2           0   0   0    2 
      14290  +2           1   0   0    2 
      14310  +2           0   0   0    2 
      14330  +2           1   0   0    2 
      14350  +2           0   0   0    2 
      14370  +2           1   0   0    2 
      14390  +2           0   0   0    2 
      14410  +2           1   0   0    2 
      14430  +2           0   0   0    2 
      14450  +2           1   0   0    2 
      14470  +2           0   0   0    2 
      14490  +2           1   0   0    2 
      14510  +2           0   0   0    2 
      14530  +2           1   0   0    2 
      14550  +2           0   0   0    2 
      14570  +2           1   0   0    2 
      14590  +2           0   0   0    2 
      14610  +2           1   0   0    2 
      14630  +2           0   0   0    2 
      14650  +2           1   0   0    2 
      14670  +2           0   0   0    2 
      14690  +2           1   0   0    2 
      14710  +2           0   0   0    2 
      14730  +2           1   0   0    2 
      14750  +2           0   0   0    2 
      14770  +2           1   0   0    2 
      14790  +2           0   0   0    2 
      14810  +2           1   0   0    2 
      14830  +2           0   0   0    2 
      14850  +2           1   0   0    2 
      14870  +2           0   0   0    2 
      14890  +2           1   0   0    2 
      14910  +2           0   0   0    2 
      14930  +2           1   0   0    2 
      14950  +2           0   0   0    2 
      14970  +2           1   0   0    2 
      14990  +2           0   0   0    2 
      15010  +2           1   0   0    2 
      15030  +2           0   0   0    2 
      15050  +2           1   0   0    2 
      15070  +2           0   0   0    2 
      15090  +2           1   0   0    2 
      15110  +2           0   0   0    2 
      15130  +2           1   0   0    2 
      15150  +2           0   0   0    2 
      15170  +2           1   0   0    2 
      15190  +2           0   0   0    2 
      15210  +2           1   0   0    2 
      15230  +2           0   0   0    2 
      15250  +2           1   0   0    2 
      15270  +2           0   0   0    2 
      15290  +2           1   0   0    2 
      15310  +2           0   0   0    2 
      15330  +2           1   0   0    2 
      15350  +2           0   0   0    2 
      15370  +2           1   0   0    2 
      15390  +2           0   0   0    2 
      15410  +2           1   0   0    2 
      15430  +2           0   0   0    2 
      15450  +2           1   0   0    2 
      15470  +2           0   0   0    2 
      15490  +2           1   0   0    2 
      15510  +2           0   0   0    2 
      15530  +2           1   0   0    2 
      15550  +2           0   0   0    2 
      15570  +2           1   0   0    2 
      15590  +2           0   0   0    2 
      15610  +2           1   0   0    2 
      15630  +2           0   0   0    2 
      15650  +2           1   0   0    2 
      15670  +2           0   0   0    2 
      15690  +1           0   0   0    3 
      15690  +2           1   0   0    3 
      15710  +2           0   0   0    3 
      15730  +2           1   0   0    3 
      15750  +2           0   0   0    3 
      15770  +2           1   0   0    3 
      15790  +2           0   0   0    3 
      15810  +2           1   0   0    3 
      15830  +2           0   0   0    3 
      15850  +2           1   0   0    3 
      15870  +2           0   0   0    3 
      15890  +2           1   0   0    3 
      15910  +2           0   0   0    3 
      15930  +2           1   0   0    3 
      15950  +2           0   0   0    3 
      15970  +2           1   0   0    3 
      15990  +2           0   0   0    3 
      16010  +1           0   0   0    4 
      16010  +2           1   0   0    4 
      16030  +2           0   0   0    4 
      16050  +2           1   0   0    4 
      16070  +2           0   0   0    4 
      16070  +3           0   0   1    4 
      16090  +2           1   0   1    4 
      16110  +2           0   0   1    4 
      16130  +2           1   0   1    4 
      16150  +2           0   0   1    4 
      16170  +2           1   0   1    4 
      16190  +2           0   0   1    4 
      16210  +2           1   0   1    4 
      16230  +2           0   0   1    4 
      16230  +3           0   0   0    4 
      16250  +2           1   0   0    4 
      16270  +2           0   0   0    4 
      16290  +2           1   0   0    4 
      16310  +2           0   0   0    4 
      16330  +2           1   0   0    4 
      16350  +2           0   0   0    4 
      16370  +2           1   0   0    4 
      16390  +2           0   0   0    4 
      16410  +2           1   0   0    4 
      16430  +2           0   0   0    4 
      16450  +2           1   0   0    4 
      16470  +2           0   0   0    4 
      16490  +2           1   0   0    4 
      16510  +2           0   0   0    4 
      16530  +2           1   0   0    4 
      16550  +2           0   0   0    4 
      16570  +2           1   0   0    4 
      16590  +2           0   0   0    4 
      16610  +2           1   0   0    4 
      16630  +2           0   0   0    4 
      16650  +2           1   0   0    4 
      16670  +2           0   0   0    4 
      16690  +2           1   0   0    4 
      16710  +2           0   0   0    4 
      16730  +2           1   0   0    4 
      16750  +2           0   0   0    4 
      16770  +1           0   0   0    5 
      16770  +2           1   0   0    5 
      16790  +2           0   0   0    5 
      16810  +2           1   0   0    5 
      16830  +2           0   0   0    5 
      16850  +2           1   0   0    5 
      16870  +2           0   0   0    5 
      16890  +2           1   0   0    5 
      16910  +2           0   0   0    5 
      16930  +2           1   0   0    5 
      16950  +2           0   0   0    5 
      16970  +2           1   0   0    5 
